"ID","Status"
"td-security-overrides","pass"
"td-security-binding","pass"
"td-security-no-extras","pass"
"td-vocab-securityDefinitions","pass"
"td-vocab-security","pass"
"td-vocab-scopes","not-impl"
"td-vocab-scheme","pass"
"td-vocab-proxy","not-impl"
"td-vocab-in","not-impl"
"td-vocab-qop","not-impl"
"td-vocab-authorization","not-impl"
"td-vocab-alg","not-impl"
"td-vocab-format","not-impl"
"td-vocab-identity","not-impl"
"td-vocab-refresh","not-impl"
"td-vocab-token","not-impl"
"td-vocab-flow","not-impl"
