"Implementation",                   "Organization",          "Name",                              "Roles"
"impl-intel-security",              "Intel Corporation",     "Security Proxy",                    "component"
"impl-intel-ocf",                   "Intel Corporation",     "OCF Metadata Translator",           "producer"
"impl-intel-speak",                 "Intel Corporation",     "WebSpeak",                          "producer"
"impl-intel-camera",                "Intel Corporation",     "Simple Web Camera",                 "producer"
"impl-siemens-node-wot",            "Siemens AG",            "node-wot",                          "consumer producer"
"impl-siemens-thingweb-directory",  "Siemens AG",            "Thingweb Directory",                "consumer producer"
"impl-siemens-wot-fxui",            "Siemens AG",            "WoT-fxUI",                          "consumer"
"impl-panasonic-authentication",    "Panasonic Corporation", "Authentication Server",             "component"
"impl-panasonic-client-browser",    "Panasonic Corporation", "Browser Based Client",              "consumer"
"impl-panasonic-client-nodered",    "Panasonic Corporation", "Node-RED Based Client",             "consumer"
"impl-panasonic-server-real",       "Panasonic Corporation", "WoT Server for Real Devices",       "producer"
"impl-panasonic-server-simulator",  "Panasonic Corporation", "WoT Simulator",                     "producer"
"impl-ercim-arena-client",          "ERCIM",                 "Arena Client",                      "consumer"
"impl-ercim-arena-webhub",          "ERCIM",                 "Arena WebHub",                      "producer"
"impl-hitachi-nodegen",             "Hitachi, Ltd.",         "Node generator for Node-RED",       "consumer"
"impl-iri-wifi",                    "Internet Research Institute, Inc.","WoT WiFi Device",        "consumer"


