"ID","Status","Comment"
"client-data-schema","pass",
"client-data-schema-accept-extras","pass",
"client-data-schema-no-extras","pass",
"client-uri-template","pass",
"td-content-type-default","pass",
"td-idempotent-safe-default","pass",
"td-readOnly-observable-writeOnly-default","pass",
"td-default-readOnly","pass",
"td-default-writeOnly","pass",
"td-default-observable","pass",
"td-default-contentType","pass",
"td-default-safe","pass",
"td-default-idempotent","pass",
"td-default-in-1","pass",
"td-default-in-2","pass",
"td-default-qop","pass",
"td-default-alg","pass",
"td-default-format","pass",
"td-default-flow","pass",
"td-default-context-of-dataschema", "fail",
"td-default-context-of-securityscheme", "pass",
"td-default-context-of-thing", "pass",
